[33mWARN[0m[2023-11-21 08:37:39] not enable search                            
[GIN] 2023/11/21 - 09:27:07 | 200 |    1.613416ms |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/21 - 09:27:14 | 200 |     249.203µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[36mINFO[0m[2023-11-23 08:59:32] closing db                                   
[33mWARN[0m[2023-11-23 09:00:03] not enable search                            
[36mINFO[0m[2023-11-23 09:08:33] closing db                                   
[33mWARN[0m[2023-11-23 09:09:06] not enable search                            
[GIN] 2023/11/23 - 11:09:32 | 200 |     364.662µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:09:33 | 200 |    5.042998ms |  192.168.15.118 | GET      "/assets/index.d81a3e4b.css"
[GIN] 2023/11/23 - 11:09:33 | 200 |    2.689287ms |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:09:33 | 200 |     456.912µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:10:01 | 200 |     210.353µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:10:01 | 200 |     102.903µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:10:01 | 200 |     112.081µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:10:02 | 200 |     191.905µs |  192.168.15.118 | GET      "/@login?redirect=%2F"
[GIN] 2023/11/23 - 11:10:02 | 200 |     125.153µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:10:44 | 200 |     207.633µs |  192.168.15.118 | GET      "/"
[GIN] 2023/11/23 - 11:10:44 | 200 |     148.373µs |  192.168.15.118 | GET      "/api/public/settings"
[GIN] 2023/11/23 - 11:10:44 | 200 |      97.979µs |  192.168.15.118 | GET      "/api/me"
[GIN] 2023/11/23 - 11:10:48 | 200 |    6.256008ms |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/23 - 11:10:53 | 200 |      203.91µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/23 - 11:10:55 | 200 |     186.997µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[GIN] 2023/11/23 - 11:10:58 | 200 |     171.227µs |  192.168.15.118 | POST     "/api/auth/login/hash"
[33mWARN[0m[2023-11-23 11:13:08] not enable search                            
[36mINFO[0m[2023-11-23 11:13:08] closing db                                   
[33mWARN[0m[2023-11-23 11:13:18] not enable search                            
[GIN] 2023/11/23 - 11:13:18 | 200 |      34.302µs |       127.0.0.1 | POST     "/api/admin/user/del_cache?username=admin"
[36mINFO[0m[2023-11-23 11:13:18] closing db                                   
